specification,model,family,term,estimate,std_error,statistic,p_value,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high,nobs,weighted_n,cluster_n,stars
rs_interaction,pooled_hit15,binomial_logit,RSC,-0.0897427333677979,0.0764413633911121,-1.17400749262712,0.240392024505422,0.914166339516701,0.786967910690156,1.06192398057561,2414022,2416682,2568,""
rs_interaction,pooled_hit15,binomial_logit,ID015F,-0.0272562950476112,0.00780255678742271,-3.49325173660342,0.000477176448054713,0.97311180582453,0.958343211949258,0.988107991821636,2414022,2416682,2568,***
rs_interaction,pooled_hit15,binomial_logit,RSC:ID015F,0.449961134863445,0.0710853936268621,6.32986766909329,2.45371544047319e-10,1.56825123400737,1.36428947687831,1.80270534563759,2414022,2416682,2568,***
rs_interaction,pooled_nc1,ols,RSC,-0.0391233817908457,0.0221371728615811,-1.76731609024674,0.0772941002804666,,,,2414040,2416682,2568,+
rs_interaction,pooled_nc1,ols,ID015F,-0.00849243040028316,0.00265087157272975,-3.20363705569411,0.00137365503481284,,,,2414040,2416682,2568,**
rs_interaction,pooled_nc1,ols,RSC:ID015F,0.169006169683621,0.0221042609077001,7.64586386259798,2.91311175198288e-14,,,,2414040,2416682,2568,***
rs_interaction,nsf_hit15,binomial_logit,RSC,-0.29372415414469,0.114911448291283,-2.55609130780549,0.0105855338062216,0.745482101231514,0.595144769590442,0.933795593362933,536255,537538,905,*
rs_interaction,nsf_hit15,binomial_logit,ID015F,-0.0142297538617684,0.00970534655592205,-1.46617679026471,0.142600129924637,0.985871010568479,0.967294545103331,1.00480422886649,536255,537538,905,""
rs_interaction,nsf_hit15,binomial_logit,RSC:ID015F,0.321017552569683,0.105876749849838,3.03199288819287,0.00242944927704008,1.37852977742138,1.12019090633218,1.69644686141909,536255,537538,905,**
rs_interaction,nsf_nc1,ols,RSC,-0.111632159139276,0.0340912121262648,-3.27451422747364,0.00109864972229166,,,,536273,537538,905,**
rs_interaction,nsf_nc1,ols,ID015F,-0.00494572188746413,0.00295822419451685,-1.67185499213723,0.0948989807167206,,,,536273,537538,905,+
rs_interaction,nsf_nc1,ols,RSC:ID015F,0.12589847710217,0.0278751628179599,4.51651091419112,7.11900151653852e-06,,,,536273,537538,905,***
rs_interaction,nsfc_hit15,binomial_logit,RSC,-0.343078954226322,0.128387115639704,-2.67222261764267,0.00753506415919405,0.709582184836049,0.55171829347457,0.912615882039642,868642,869188,530,**
rs_interaction,nsfc_hit15,binomial_logit,ID015F,-0.0595736468036201,0.0202467302692459,-2.94238358546765,0.00325696217701331,0.942166143511134,0.905509746426447,0.980306446707856,868642,869188,530,**
rs_interaction,nsfc_hit15,binomial_logit,RSC:ID015F,0.734045475613853,0.119820074901022,6.12623115300347,8.9985050767498e-10,2.08349229884294,1.64739973852937,2.63502540264636,868642,869188,530,***
rs_interaction,nsfc_nc1,ols,RSC,-0.120595884610124,0.0317468297337348,-3.79867487939989,0.000162355559712425,,,,868644,869188,530,***
rs_interaction,nsfc_nc1,ols,ID015F,-0.0193261315255163,0.0056039762717801,-3.44864620909206,0.00060831882250659,,,,868644,869188,530,***
rs_interaction,nsfc_nc1,ols,RSC:ID015F,0.253392773318413,0.0304659107299235,8.3172558196178,7.67384543701633e-16,,,,868644,869188,530,***
rs_interaction,nih_hit15,binomial_logit,RSC,0.176285635870152,0.137309332880337,1.28385763860482,0.199191771653827,1.19277871038202,0.911338704557399,1.56113313834459,1009123,1009956,1133,""
rs_interaction,nih_hit15,binomial_logit,ID015F,-0.0122813146801143,0.00518849179314228,-2.36702979782038,0.0179314890327115,0.987793792877415,0.97779938422372,0.997890357664515,1009123,1009956,1133,*
rs_interaction,nih_hit15,binomial_logit,RSC:ID015F,0.297083961073639,0.0766162366566312,3.87755877915372,0.000105509841492515,1.34592830028933,1.1582568243272,1.564008043356,1009123,1009956,1133,***
rs_interaction,nih_nc1,ols,RSC,0.0922351187669904,0.0375173800869031,2.45846374542525,0.0141021940641724,,,,1009123,1009956,1133,*
rs_interaction,nih_nc1,ols,ID015F,-0.000430468975982359,0.00146884647006589,-0.293066011155712,0.769525409243189,,,,1009123,1009956,1133,""
rs_interaction,nih_nc1,ols,RSC:ID015F,0.0898856477505474,0.0184068399032852,4.88327427319585,1.19312814142262e-06,,,,1009123,1009956,1133,***
