group,outcome,model_family,term,estimate,std_error,statistic,p_value,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high,nobs,r2,stars
MDP,Hit15,binomial_logit,funded,0.0313273918041152,0.00665961545884402,4.70408419190514,2.5500800809472e-06,1.03182325907268,1.01844254683374,1.04537977254909,4199088,0.0937684536807578,***
MDP,Hit15,binomial_logit,RS,-0.194181833579914,0.0506643256346144,-3.83271327798444,0.000126737638583467,0.82350814921888,0.745661219096711,0.909482288285599,4199088,0.0937684536807578,***
MDP,Hit15,binomial_logit,funded:RS,0.0261162221085222,0.0425476346530317,0.613811374509894,0.539339979979286,1.0264602389145,0.944332319127726,1.11573076631077,4199088,0.0937684536807578,""
MDP,Log1p_NC1,ols,funded,0.0148161939641055,0.00154104023350461,9.61441086480312,7.04317402424323e-22,,,,4199128,0.169535213356145,***
MDP,Log1p_NC1,ols,RS,-0.0910478396147866,0.0126390067001327,-7.20371796415227,5.88413584745687e-13,,,,4199128,0.169535213356145,***
MDP,Log1p_NC1,ols,funded:RS,0.00450766747381459,0.0094362039284575,0.477699243042053,0.632864916412581,,,,4199128,0.169535213356145,""
IDP,Hit15,binomial_logit,funded,-0.0309163506043094,0.00919928677257651,-3.36073343169086,0.000777358112007332,0.969556672513763,0.952231641696713,0.987196917276315,2211780,0.0953041789094307,***
IDP,Hit15,binomial_logit,RS,0.119629398758184,0.0577050471331765,2.07311846539339,0.0381612559236583,1.12707907726466,1.00654885697702,1.26204231180877,2211780,0.0953041789094307,*
IDP,Hit15,binomial_logit,funded:RS,0.247162197173809,0.0538441267036661,4.59032790213274,4.4255022035354e-06,1.28038677105267,1.1521476342974,1.42289949194438,2211780,0.0953041789094307,***
IDP,Log1p_NC1,ols,funded,-0.00472784057900544,0.00209427978297631,-2.25750189513189,0.0239783509649743,,,,2211814,0.170406123896692,*
IDP,Log1p_NC1,ols,RS,0.0294901069377843,0.0149022211246556,1.97890681470248,0.0478285646386757,,,,2211814,0.170406123896692,*
IDP,Log1p_NC1,ols,funded:RS,0.0870688999926945,0.0123082276887496,7.07404040569383,1.51226831263244e-12,,,,2211814,0.170406123896692,***
